bairro_id,lambda
98,0.003831384928813936
97,0.0019157932526918259
104,0.0038313430325655914
101,0.005751548543616434
103,0.0019157721616225374
102,0.0019157510720679114
144,0.07964635937522277
48,0.005751782009909523
96,0.0038312164298622314
49,1e-06
100,0.0019157933368758285
114,0.0077512154612337705
46,0.005751550004281669
99,0.0057514742847095575
47,0.0019158367417107186
158,1e-06
95,1e-06
44,0.0057514310870123595
141,0.036173451628220415
93,1e-06
76,0.007744881925910022
107,0.0038312199341483276
111,1e-06
94,0.003831173934164574
113,1e-06
45,0.0019158156541291213
43,0.010058555711144635
92,1e-06
91,1e-06
110,0.007750494747417308
106,0.0019157299191888378
108,1e-06
112,0.0019158379534022977
75,1e-06
109,1e-06
77,1e-06
87,0.0019157944703217177
42,0.003831486664642544
74,1e-06
157,1e-06
135,0.0019161379806574143
105,1e-06
86,0.003831181308569396
41,0.005752055396683941
139,0.040126878223810156
72,1e-06
90,0.0038311317225451116
73,0.0019156678997966064
148,0.005756751439117067
55,0.0019158842293027685
156,0.0019159538952770328
84,1e-06
140,0.007760901165243895
89,1e-06
85,1e-06
40,0.01613800058670043
54,0.0057511006069958385
56,1e-06
143,0.00383388361413064
83,0.019751852199629095
88,0.0019158892374530527
149,0.04036844030100463
138,0.005753251804273146
142,0.005757836086520044
80,1e-06
136,1e-06
50,1e-06
39,1e-06
81,1e-06
71,0.003831431478722669
53,0.0019157089036981516
69,0.00774954138327443
82,0.0038317746730174343
125,0.0038313172274693362
52,0.0019156455763462985
79,0.005751662731548436
137,0.001916361643660516
78,0.001916022307733103
70,0.0019158156332901215
145,0.0019166381239383997
147,0.019947585966406885
155,0.0019157362696853217
65,1e-06
124,0.010057743299769504
12,0.010044713397672154
66,0.005751662796754072
10,0.007751011987987777
159,0.0019158430049038078
146,0.012919470541525625
64,0.003831343038162503
51,1e-06
68,1e-06
58,0.0019158219156844272
63,0.001915815645222258
2,0.001915933527310713
3,0.0019159770182486764
5,0.023684674207097772
60,1e-06
59,0.0019157312162105414
1,1e-06
57,1e-06
61,0.007750271954821921
11,1e-06
123,0.0038319883712057256
122,0.0198434516541815
67,1e-06
62,0.0019161045690934532
120,0.0038321127857953406
8,0.0019159758024932347
32,1e-06
36,0.007750760972391288
35,0.005751746872658815
16,0.0019161623467070616
7,0.0019158419060060917
14,0.0057520498321756396
9,1e-06
33,0.010052594525064398
6,0.003831300844039081
38,0.0019162599222089605
121,0.005752424210571926
37,0.003831616285200752
18,0.012865351966514164
15,0.005752231592897217
17,0.0038317270410487855
151,0.016214237855869132
131,0.0019173422535160277
34,0.003831867971993288
19,1e-06
119,0.005753518200161958
20,0.007753204339916056
22,1e-06
118,0.0038323533228976016
150,0.012901591744346708
116,0.007756007608381571
115,0.02753826961143484
129,1e-06
21,1e-06
117,0.0019161045832061714
28,0.0019156877561123276
130,1e-06
24,0.04429928693519077
23,0.0019162276614889462
27,0.001916335862304899
127,0.0038328143918244873
29,1e-06
128,0.04023771523706218
26,0.007752682356414256
25,0.007757865355156167
31,0.0038319256668177637
154,1e-06
153,0.0019158702708479854
132,0.03187592859152361
30,1e-06
126,1e-06
152,1e-06
133,1e-06
4,1e-06
134,0.003831173924414736
160,1e-06
